AU011858,            ONE,     00,
19751208, 1200,  , TS, 12.7S, 137.3E,  35, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751208, 1800,  , TS, 12.4S, 138.0E,  35, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751209, 0000,  , TS, 12.3S, 138.7E,  40, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751209, 0600,  , TS, 12.4S, 139.5E,  40, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751209, 1200,  , TS, 12.9S, 140.4E,  45, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751209, 1800,  , TS, 13.8S, 141.1E,  40, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751210, 0000,  , TD, 15.1S, 141.8E,  30, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751210, 0600,  , TS, 15.6S, 142.5E,  29,  997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751210, 1200,  , TD, 15.9S, 142.5E,  25, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU171975,            SUE,     00,
19751212, 0000,  , TD, 9.2S, 100.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751212, 0600,  , TD, 9.6S, 101.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751212, 1200,  , TD, 10.0S, 102.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751212, 1800,  , TD, 10.3S, 103.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751213, 0000,  , TD, 10.6S, 104.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751213, 0600,  , TD, 10.8S, 104.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751213, 1200,  , TD, 11.0S, 104.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751213, 1800,  , TD, 11.2S, 105.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751214, 0000,  , TD, 11.3S, 105.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751214, 0600,  , TD, 11.4S, 106.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751214, 1200,  , TD, 11.3S, 108.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751214, 1800,  , TD, 11.1S, 109.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751215, 0000,  , TD, 10.9S, 110.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751215, 0600,  , TD, 10.6S, 112.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751215, 1200,  , TD, 10.3S, 114.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751215, 1800,  , TD, 10.8S, 116.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19751216, 0000,  , TD, 12.1S, 117.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU011976,            DAVID,     00,
19760111, 0000,  , TD, 13.0S, 177.3E,  30,  997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760111, 0600,  , TD, 13.2S, 176.1E,  30,  997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760111, 1200,  , TD, 13.5S, 175.0E,  30,  997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760111, 1800,  , TD, 14.0S, 174.0E,  30,  997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760112, 0000,  , TD, 14.4S, 172.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760112, 0600,  , TD, 14.7S, 171.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760112, 1200,  , TD, 15.0S, 170.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760112, 1800,  , TD, 15.2S, 170.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760113, 0000,  , TD, 15.4S, 169.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760113, 0600,  , TD, 15.7S, 168.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760113, 1200,  , TD, 16.0S, 167.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760113, 1800,  , TD, 16.1S, 166.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760114, 0000,  , TD, 16.3S, 166.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760114, 0600,  , TD, 16.5S, 166.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760114, 1200,  , TD, 16.7S, 165.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760114, 1800,  , TD, 16.9S, 165.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760115, 0000,  , TD, 17.1S, 164.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760115, 0600,  , TD, 17.2S, 164.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760115, 1200,  , TD, 17.4S, 163.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760115, 1800,  , TD, 17.7S, 163.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760116, 0000,  , TD, 18.0S, 163.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760116, 0600,  , TD, 18.2S, 162.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760116, 1200,  , TD, 18.4S, 162.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760116, 1800,  , TD, 18.7S, 161.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760117, 0000,  , TD, 19.0S, 160.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760117, 0600,  , TD, 19.4S, 160.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760117, 1200,  , TD, 19.8S, 159.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760117, 1800,  , TD, 20.1S, 158.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760118, 0000,  , TD, 20.5S, 157.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760118, 0600,  , TD, 20.8S, 156.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760118, 1200,  , TD, 21.2S, 155.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760118, 1800,  , TD, 21.4S, 154.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760119, 0000,  , TD, 21.4S, 153.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760119, 0600,  , TD, 21.6S, 151.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760119, 1200,  , TD, 21.8S, 149.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760119, 1800,  , TD, 22.2S, 148.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760120, 0000,  , TD, 22.7S, 146.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760120, 0600,  , TD, 23.4S, 145.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760120, 1200,  , TD, 24.2S, 144.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760120, 1800,  , TD, 25.3S, 143.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760121, 0000,  , TD, 26.2S, 142.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760121, 0600,  , TD, 26.6S, 142.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760121, 1200,  , TD, 27.1S, 142.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760121, 1800,  , TD, 27.5S, 142.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760122, 0000,  , TD, 28.0S, 142.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760122, 0600,  , TD, 28.3S, 144.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760122, 1200,  , TD, 28.4S, 147.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU021976,            VANESSA,     00,
19760115, 0000,  , TD, 17.7S, 121.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760115, 0600,  , TD, 18.1S, 121.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760115, 1200,  , TD, 18.3S, 120.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760115, 1800,  , TD, 18.4S, 119.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760116, 0000,  , TD, 18.4S, 118.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760116, 0600,  , TD, 18.3S, 118.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760116, 1200,  , TD, 18.1S, 117.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760116, 1800,  , TD, 18.1S, 117.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760117, 0000,  , TD, 18.2S, 117.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760117, 0600,  , TD, 18.0S, 116.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760117, 1200,  , TD, 17.7S, 115.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760117, 1800,  , TD, 17.8S, 115.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760118, 0000,  , TD, 17.9S, 114.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760118, 0600,  , TD, 17.7S, 114.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760118, 1200,  , TD, 17.3S, 113.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760118, 1800,  , TD, 16.7S, 113.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760119, 0000,  , TD, 16.2S, 113.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760119, 0600,  , TD, 15.9S, 113.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760119, 1200,  , TD, 15.6S, 112.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760119, 1800,  , TD, 15.3S, 112.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760120, 0000,  , TD, 15.1S, 111.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760120, 0600,  , TD, 14.9S, 111.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760120, 1200,  , TD, 14.7S, 111.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760120, 1800,  , TD, 14.5S, 111.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760121, 0000,  , TD, 14.4S, 111.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760121, 0600,  , TD, 14.4S, 110.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760121, 1200,  , TD, 14.5S, 110.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760121, 1800,  , TD, 14.9S, 110.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760122, 0000,  , TD, 15.4S, 110.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760122, 0600,  , TD, 15.5S, 111.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760122, 1200,  , TD, 15.7S, 112.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760122, 1800,  , TD, 16.2S, 113.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760123, 0000,  , TD, 16.8S, 113.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760123, 0600,  , TD, 17.0S, 114.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760123, 1200,  , TD, 17.3S, 114.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760123, 1800,  , TD, 17.7S, 114.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760124, 0000,  , TD, 18.2S, 113.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760124, 0600,  , TD, 18.7S, 113.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760124, 1200,  , TD, 19.2S, 113.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760124, 1800,  , TD, 19.7S, 113.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760125, 0000,  , TD, 20.2S, 113.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760125, 0600,  , TD, 21.0S, 112.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760125, 1200,  , TD, 21.9S, 112.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760125, 1800,  , TD, 22.6S, 111.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760126, 0000,  , TD, 23.3S, 111.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760126, 0600,  , TD, 24.1S, 110.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760126, 1200,  , TD, 25.0S, 110.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760126, 1800,  , TD, 25.9S, 110.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760127, 0000,  , TD, 26.9S, 110.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760127, 0600,  , TD, 27.9S, 110.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760127, 1200,  , TD, 28.9S, 110.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760127, 1800,  , TD, 30.2S, 110.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760128, 0000,  , TD, 31.7S, 110.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU031976,            ALAN,     00,
19760130, 0000,  , TD, 13.0S, 161.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760130, 0600,  , TD, 12.5S, 159.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760130, 1200,  , TD, 12.3S, 158.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760130, 1800,  , TD, 12.5S, 156.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760131, 0000,  , TD, 12.9S, 155.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760131, 0600,  , TD, 13.4S, 153.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760131, 1200,  , TD, 14.0S, 151.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760131, 1800,  , TD, 14.7S, 150.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760201, 0000,  , TD, 15.5S, 148.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760201, 0600,  , TD, 15.9S, 147.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760201, 1200,  , TD, 16.2S, 145.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760201, 1800,  , TD, 17.2S, 144.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760202, 0000,  , TD, 18.3S, 143.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760202, 0600,  , TD, 18.7S, 141.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760202, 1200,  , TD, 18.6S, 139.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760202, 1800,  , TD, 18.4S, 138.6E,  25, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760203, 0000,  , TD, 18.7S, 137.0E,  25, 1002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760203, 0600,  , TD, 18.9S, 136.5E,  25,  998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760203, 1200,  , TD, 19.1S, 136.2E,  25,  997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760203, 1800,  , TD, 19.3S, 136.0E,  25,  996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760204, 0000,  , TD, 19.3S, 135.6E,  25,  995, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760204, 0600,  , TD, 19.3S, 135.2E,  25,  992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760204, 1200,  , TD, 19.3S, 134.8E,  25,  992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760204, 1800,  , TD, 19.3S, 134.3E,  25,  992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760205, 0000,  , TD, 19.3S, 133.7E,  25,  992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760205, 0600,  , TD, 19.7S, 133.6E,  25,  990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760205, 1200,  , TD, 20.0S, 133.7E,  25,  989, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760205, 1800,  , TD, 20.1S, 133.9E,  25,  989, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760206, 0000,  , TD, 20.2S, 134.3E,  25,  990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760206, 0600,  , TD, 20.6S, 134.5E,  25,  990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760206, 1200,  , TD, 21.1S, 134.3E,  25,  992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760206, 1800,  , TD, 21.5S, 134.1E,  25,  992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760207, 0000,  , TD, 21.7S, 134.2E,  25,  992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760207, 0600,  , TD, 22.2S, 134.4E,  25,  992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760207, 1200,  , TD, 23.2S, 134.9E,  25,  993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760207, 1800,  , TD, 24.0S, 135.0E,  25,  993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760208, 0000,  , TD, 24.5S, 135.0E,  25,  992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760208, 0600,  , TD, 24.9S, 134.7E,  25,  992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760208, 1200,  , TD, 25.0S, 134.8E,  25,  993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760208, 1800,  , TD, 25.2S, 135.3E,  25,  993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760209, 0000,  , TD, 25.3S, 135.9E,  25,  992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760209, 0600,  , TD, 25.7S, 137.4E,  25,  992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU041976,            BETH,     00,
19760213, 1800,  , TD, 16.4S, 150.0E,  25, 1002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760214, 0000,  , TD, 16.0S, 150.3E,  25, 1001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760214, 0600,  , TD, 15.9S, 149.9E,  25,  999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760214, 1200,  , TD, 16.1S, 149.6E,  25, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760214, 1800,  , TD, 16.1S, 150.0E,  25,  999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760215, 0000,  , TD, 15.8S, 150.1E,  25,  998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760215, 0600,  , TD, 15.4S, 149.8E,  30,  996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760215, 1200,  , TS, 15.2S, 149.4E,  35,  995, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760215, 1800,  , TS, 14.9S, 149.0E,  35,  994, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760216, 0000,  , TS, 14.5S, 148.4E,  35,  993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760216, 0600,  , TS, 13.9S, 148.3E,  40,  991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760216, 1200,  , TD, 13.8S, 149.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760216, 1800,  , TD, 14.5S, 150.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760217, 0000,  , TD, 14.9S, 151.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760217, 0600,  , TD, 15.0S, 152.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760217, 1200,  , TD, 15.2S, 154.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760217, 1800,  , TD, 15.6S, 156.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760218, 0000,  , TD, 16.2S, 157.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760218, 0600,  , TD, 16.8S, 158.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760218, 1200,  , TD, 17.5S, 158.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760218, 1800,  , TD, 18.2S, 159.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760219, 0000,  , TD, 18.9S, 159.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760219, 0600,  , TD, 20.0S, 159.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760219, 1200,  , TD, 21.1S, 159.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760219, 1800,  , TD, 21.9S, 158.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760220, 0000,  , TD, 22.7S, 158.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760220, 0600,  , TD, 23.4S, 157.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760220, 1200,  , TD, 23.9S, 156.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760220, 1800,  , TD, 24.2S, 155.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760221, 0000,  , TD, 24.3S, 154.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760221, 0600,  , TD, 24.3S, 153.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760221, 1200,  , TD, 24.3S, 153.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760221, 1800,  , TD, 24.3S, 152.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760222, 0000,  , TD, 24.2S, 151.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760222, 0600,  , TD, 24.0S, 151.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760222, 1200,  , TD, 23.5S, 150.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU051976,            WALLY,     00,
19760222, 1200,  , TD, 16.4S, 125.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760222, 1800,  , TD, 16.4S, 123.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19760223, 0000,  , TD, 16.5S, 122.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
